File,Alias,Question,Answer,Confidence
sample_nocs/0000000243.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000000243.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000243.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000000243.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000243.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000243.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000000243.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000243.PDF,product_name,What is the Product name?,VELCADE,98
sample_nocs/0000000243.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",NA,NA
sample_nocs/0000000243.PDF,species,What is the species?,Multiple myeloma,55
sample_nocs/0000000243.PDF,noc_date,What is the date of the document?,NA,NA
sample_nocs/0000000243.PDF,medicinal_ingredients,What are the medicinal ingredients?,"VELCADE, VELCADE, proteasome inhibitor",42
sample_nocs/0000000285.PDF,canadian_reference_product,What is the Canadian Reference Product?,NA,NA
sample_nocs/0000000285.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000285.PDF,noc_reason,What was the reason for the submission?,Approval of VELCADE was based on analyses of response rates.,28
sample_nocs/0000000285.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000285.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000285.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000000285.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000285.PDF,product_name,What is the Product name?,VELCADE,73
sample_nocs/0000000285.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",NA,NA
sample_nocs/0000000285.PDF,species,What is the species?,NA,NA
sample_nocs/0000000285.PDF,noc_date,What is the date of the document?,"December 17, 2004",95
sample_nocs/0000000285.PDF,medicinal_ingredients,What are the medicinal ingredients?,bortezomib mannitol boronic ester,54.000003814697266
sample_nocs/0000000301.PDF,canadian_reference_product,What is the Canadian Reference Product?,FEMARA* 2.5 mg,58.999996185302734
sample_nocs/0000000301.PDF,directorate,What is the directorate that approved the submission?,NA,NA
sample_nocs/0000000301.PDF,noc_reason,What was the reason for the submission?,NA,NA
sample_nocs/0000000301.PDF,approving_dg,What is the name of the Director General that signed this NOC?,NA,NA
sample_nocs/0000000301.PDF,dossier_id,What is the Dossier Id?,NA,NA
sample_nocs/0000000301.PDF,submission_no,What is the Submission Number?,NA,NA
sample_nocs/0000000301.PDF,manufacturer_name,Who is the Sponsor/Manufacturer?,NA,NA
sample_nocs/0000000301.PDF,product_name,What is the Product name?,FEMARA,54.000003814697266
sample_nocs/0000000301.PDF,din_route_form_strength,"What is the Drug Identification Number, Route, Form and Strength?",FEMARA* 2.5 mg,65
sample_nocs/0000000301.PDF,species,What is the species?,NA,NA
sample_nocs/0000000301.PDF,noc_date,What is the date of the document?,NA,NA
sample_nocs/0000000301.PDF,medicinal_ingredients,What are the medicinal ingredients?,"FEMARA, active substance letrozole",58
sample_nocs/0000000354.PDF,canadian_reference_product,What is the Canadian Reference Product?,ZEMPLAR,66
