file,resp_json,data_found,reason,dossier_id,submission_no,date,product_name,medicinal_ingredients,reason_for_submission,species,drug_identification_number_route_form_strength,canadian_reference_product,manufacturer_name,manufacturer_street,manufacturer_city,manufacturer_province,manufacturer_country,manufacturer_postal_code,authorizing_official_name,authorizing_official_title,authorizing_official_division,authorizing_official_directorate
https://pdf.hres.ca/noc_pm/0000000243.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a 'FACT SHEET' for VELCADE detailing its use, mechanism, and indications, but it does not contain the structured Notice of Compliance (NOC) details required (e.g., dossier ID, submission number, manufacturer info, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official). The text only mentions 'Health Canada has approved VELCADE with conditions' under the NOC/c policy, but lacks the specific NOC data fields."",
  ""partial_data"": {}
}",FALSE,"The provided text is a 'FACT SHEET' for VELCADE detailing its use, mechanism, and indications, but it does not contain the structured Notice of Compliance (NOC) details required (e.g., dossier ID, submission number, manufacturer info, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official). The text only mentions 'Health Canada has approved VELCADE with conditions' under the NOC/c policy, but lacks the specific NOC data fields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://pdf.hres.ca/noc_pm/0000000285.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text does not contain a complete Notice of Compliance (NOC) document with the required structured fields such as dossier_id, submission_no, manufacturer details, date, product_name, medicinal_ingredients, reason_for_submission, species, drug_identification_number_route_form_strength, canadian_reference_product, and authorizing_official. It contains only a letter announcing the conditional approval of VELCADE, but lacks the formal NOC details required by the schema."",
  ""partial_data"": {
    ""product_name"": ""VELCADE* (bortezomib mannitol boronic ester) for Injection"",
    ""reason_for_submission"": ""for the treatment of multiple myeloma patients who have relapsed following front-line therapy and are refractory to their most recent therapy"",
    ""species"": ""human"",
    ""date"": ""December 17, 2004"",
    ""manufacturer"": {
      ""name"": ""Janssen-Ortho Inc."",
      ""street"": """",
      ""city"": """",
      ""province"": """",
      ""country"": """",
      ""postal_code"": """"
    },
    ""drug_identification_number_route_form_strength"": """",
    ""canadian_reference_product"": """",
    ""authorizing_official"": {
      ""name"": """",
      ""title"": """",
      ""division"": """",
      ""directorate"": """"
    }
  }
}",FALSE,"The provided text does not contain a complete Notice of Compliance (NOC) document with the required structured fields such as dossier_id, submission_no, manufacturer details, date, product_name, medicinal_ingredients, reason_for_submission, species, drug_identification_number_route_form_strength, canadian_reference_product, and authorizing_official. It contains only a letter announcing the conditional approval of VELCADE, but lacks the formal NOC details required by the schema.",NA,NA,"December 17, 2004",VELCADE* (bortezomib mannitol boronic ester) for Injection,NA,for the treatment of multiple myeloma patients who have relapsed following front-line therapy and are refractory to their most recent therapy,human,,,Janssen-Ortho Inc.,,,,,,,,,
https://pdf.hres.ca/noc_pm/0000000301.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a fact sheet describing the conditional approval of FEMARA for extended adjuvant therapy, but it does not contain the structured notice of compliance details required (e.g., dossier ID, submission number, manufacturer address, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official). The document lacks the specific regulatory form fields needed to populate the requested JSON schema."",
  ""partial_data"": {}
}",FALSE,"The provided text is a fact sheet describing the conditional approval of FEMARA for extended adjuvant therapy, but it does not contain the structured notice of compliance details required (e.g., dossier ID, submission number, manufacturer address, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official). The document lacks the specific regulatory form fields needed to populate the requested JSON schema.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://pdf.hres.ca/noc_pm/0000000354.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a 'SOMMAIRE DES MOTIFS DE DÉCISION (SMD)' which is a summary of decision rationale, not a Notice of Compliance (NOC). It does not contain the required NOC details such as dossier ID, submission number, manufacturer address, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official information."",
  ""partial_data"": {}
}",FALSE,"The provided text is a 'SOMMAIRE DES MOTIFS DE DÉCISION (SMD)' which is a summary of decision rationale, not a Notice of Compliance (NOC). It does not contain the required NOC details such as dossier ID, submission number, manufacturer address, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://pdf.hres.ca/noc_pm/0000000357.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text does not contain a complete Notice of Compliance (NOC) document. It only references the NOC (issued March 31, 2005) and includes a Consumer Information Section (Part III) of a Product Monograph. The NOC details such as dossier ID, submission number, manufacturer address, authorizing official, and drug identification number are not present in the text."",
  ""partial_data"": {
    ""dossier_id"": """",
    ""submission_no"": ""087818"",
    ""manufacturer"": {
      ""name"": ""Abbott Laboratories Ltd."",
      ""street"": """",
      ""city"": """",
      ""province"": """",
      ""country"": """",
      ""postal_code"": """"
    },
    ""date"": ""March 31, 2005"",
    ""product_name"": ""ZEMPLAR*"",
    ""medicinal_ingredients"": ""Paricalcitol"",
    ""reason_for_submission"": """",
    ""species"": """",
    ""drug_identification_number_route_form_strength"": ""5 mcg/mL, solution"",
    ""canadian_reference_product"": """",
    ""authorizing_official"": {
      ""name"": """",
      ""title"": """",
      ""division"": """",
      ""directorate"": """"
    }
  }
}",FALSE,"The provided text does not contain a complete Notice of Compliance (NOC) document. It only references the NOC (issued March 31, 2005) and includes a Consumer Information Section (Part III) of a Product Monograph. The NOC details such as dossier ID, submission number, manufacturer address, authorizing official, and drug identification number are not present in the text.",,087818,"March 31, 2005",ZEMPLAR*,Paricalcitol,,,"5 mcg/mL, solution",,Abbott Laboratories Ltd.,,,,,,,,,
https://pdf.hres.ca/noc_pm/0000000644.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a consumer information section (part III of the product monograph) for the drug XYREMMD. It does not contain the full Notice of Compliance (NOC) details required by the schema, such as dossier ID, submission number, manufacturer address, date of authorization, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official information. It only states that this version was issued with an NOC dated August 5, 2005, but lacks the specific fields needed to populate the required JSON structure."",
  ""partial_data"": {
    ""product_name"": ""XYREMMD"",
    ""medicinal_ingredients"": ""Oxybate de sodium"",
    ""route_form_strength"": ""500 mg/mL, solution orale"",
    ""date"": ""5 août 2005"",
    ""manufacturer"": {
      ""name"": ""Orphan Medical, Inc.""
    },
    ""drug_identification_number_route_form_strength"": ""N° contrôle de la présentation 088659""
  }
}",FALSE,"The provided text is a consumer information section (part III of the product monograph) for the drug XYREMMD. It does not contain the full Notice of Compliance (NOC) details required by the schema, such as dossier ID, submission number, manufacturer address, date of authorization, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official information. It only states that this version was issued with an NOC dated August 5, 2005, but lacks the specific fields needed to populate the required JSON structure.",NA,NA,5 août 2005,XYREMMD,Oxybate de sodium,NA,NA,N° contrôle de la présentation 088659,NA,"Orphan Medical, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA
https://pdf.hres.ca/noc_pm/0000000722.PDF,"{
  ""data_found"": true,
  ""dossier_id"": ""102240"",
  ""submission_no"": """",
  ""manufacturer"": {
    ""name"": ""Shire BioChem Inc."",
    ""street"": """",
    ""city"": """",
    ""province"": """",
    ""country"": ""Canada"",
    ""postal_code"": """"
  },
  ""date"": ""February 19, 2007"",
  ""product_name"": ""FOSRENOL™"",
  ""medicinal_ingredients"": ""lanthanum carbonate hydrate"",
  ""reason_for_submission"": """",
  ""species"": """",
  ""drug_identification_number_route_form_strength"": ""Lanthanum carbonate hydrate, 250 mg, 500 mg, 750 mg, 1000 mg tablets"",
  ""canadian_reference_product"": """",
  ""authorizing_official"": {
    ""name"": """",
    ""title"": """",
    ""division"": """",
    ""directorate"": """"
  }
}",TRUE,NA,102240,,"February 19, 2007",FOSRENOL™,lanthanum carbonate hydrate,,,"Lanthanum carbonate hydrate, 250 mg, 500 mg, 750 mg, 1000 mg tablets",,Shire BioChem Inc.,,,,Canada,,,,,
https://pdf.hres.ca/noc_pm/0000000821.PDF,"{
  ""data_found"": false,
  ""reason"": ""The document is an 'AVIS D'ADMISSIBILITÉ' (Notice of Admissibility) under Canada's conditional approval policy, not a final 'AVIS DE CONFORMITÉ AVEC CONDITIONS' (Notice of Compliance). It does not contain a final approval or compliance notice, but rather a preliminary determination that the application is admissible for further review under conditional approval. No final compliance details (e.g., dossier ID, submission number, product name with full formulation, drug identification number, authorizing official, etc.) are present in this page."",
  ""partial_data"": {
    ""date"": ""7 juin 2007"",
    ""product_name"": ""SATIVEX® (delta-9-tétrahydrocannabinol [de Tetranabinex® − extrait de Cannabis sativa L.] et cannabidiol [de Nabidiolex® − extrait de Cannabis sativa L.], vaporisateur buccal)"",
    ""drug_identification_number_route_form_strength"": ""109461"",
    ""species"": ""adultes atteints de cancer avancé"",
    ""reason_for_submission"": ""traitement analgésique d’appoint des adultes atteints de cancer avancé qui présentent une douleur modérée ou grave pendant un puissant traitement opioïde administré à la plus forte dose tolérée contre une douleur de fond persistante"",
    ""canadian_reference_product"": """",
    ""authorizing_official"": {
      ""name"": ""[nom de l’employé enlevé]"",
      ""title"": ""Directrice de la réglementation"",
      ""division"": ""Produits thérapeutiques"",
      ""directorate"": """"
    },
    ""manufacturer"": {
      ""name"": ""GW Pharmaceuticals Ltd."",
      ""street"": ""Porton Down Science Park"",
      ""city"": ""Salisbury"",
      ""province"": ""Wiltshire"",
      ""country"": ""Royaume-Uni"",
      ""postal_code"": ""SP4 0JQ""
    },
    ""dossier_id"": ""9427-G0846/1-21"",
    ""submission_no"": """"
  }
}",FALSE,"The document is an 'AVIS D'ADMISSIBILITÉ' (Notice of Admissibility) under Canada's conditional approval policy, not a final 'AVIS DE CONFORMITÉ AVEC CONDITIONS' (Notice of Compliance). It does not contain a final approval or compliance notice, but rather a preliminary determination that the application is admissible for further review under conditional approval. No final compliance details (e.g., dossier ID, submission number, product name with full formulation, drug identification number, authorizing official, etc.) are present in this page.",9427-G0846/1-21,,7 juin 2007,"SATIVEX® (delta-9-tétrahydrocannabinol [de Tetranabinex® − extrait de Cannabis sativa L.] et cannabidiol [de Nabidiolex® − extrait de Cannabis sativa L.], vaporisateur buccal)",NA,traitement analgésique d’appoint des adultes atteints de cancer avancé qui présentent une douleur modérée ou grave pendant un puissant traitement opioïde administré à la plus forte dose tolérée contre une douleur de fond persistante,adultes atteints de cancer avancé,109461,,GW Pharmaceuticals Ltd.,Porton Down Science Park,Salisbury,Wiltshire,Royaume-Uni,SP4 0JQ,[nom de l’employé enlevé],Directrice de la réglementation,Produits thérapeutiques,
https://pdf.hres.ca/noc_pm/0000000867.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text contains consumer information and a disclaimer about the notice of compliance (NOC) date (June 3, 2005), but it does not contain the structured NOC details required in the schema (e.g., dossier_id, submission_no, manufacturer address, date, product_name, medicinal_ingredients, reason_for_submission, species, drug_identification_number_route_form_strength, canadian_reference_product, authorizing_official). The text only states that this consumer information was attached to an NOC, not the NOC itself."",
  ""partial_data"": {
    ""product_name"": ""LYRICA*"",
    ""medicinal_ingredients"": ""Prégabaline"",
    ""drug_identification_number_route_form_strength"": ""25, 50, 75, 100, 150, 200, 225, 300 mg de prégabaline, capsules"",
    ""manufacturer"": {
      ""name"": ""Pfizer Canada Inc."",
      ""street"": """",
      ""city"": """",
      ""province"": """",
      ""country"": """",
      ""postal_code"": """"
    },
    ""date"": ""3 juin 2005"",
    ""reason_for_submission"": """",
    ""species"": """",
    ""canadian_reference_product"": """",
    ""authorizing_official"": {
      ""name"": """",
      ""title"": """",
      ""division"": """",
      ""directorate"": """"
    }
  }
}",FALSE,"The provided text contains consumer information and a disclaimer about the notice of compliance (NOC) date (June 3, 2005), but it does not contain the structured NOC details required in the schema (e.g., dossier_id, submission_no, manufacturer address, date, product_name, medicinal_ingredients, reason_for_submission, species, drug_identification_number_route_form_strength, canadian_reference_product, authorizing_official). The text only states that this consumer information was attached to an NOC, not the NOC itself.",NA,NA,3 juin 2005,LYRICA*,Prégabaline,,,"25, 50, 75, 100, 150, 200, 225, 300 mg de prégabaline, capsules",,Pfizer Canada Inc.,,,,,,,,,
https://pdf.hres.ca/noc_pm/0000000969.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a Consumer Information section of a Product Monograph, not a Notice of Compliance document. It references the NOC but does not contain the required structured fields (e.g., dossier_id, manufacturer details, date, product_name, medicinal_ingredients, etc.) needed to extract NOC details."",
  ""partial_data"": {
    ""product_name"": ""PrEMEND™ Aprepitant 80 mg and 125 mg, capsules"",
    ""manufacturer"": {
      ""name"": ""Merck Frosst Canada Ltd.""
    },
    ""date"": ""August 20, 2007"",
    ""submission_no"": ""108483""
  }
}",FALSE,"The provided text is a Consumer Information section of a Product Monograph, not a Notice of Compliance document. It references the NOC but does not contain the required structured fields (e.g., dossier_id, manufacturer details, date, product_name, medicinal_ingredients, etc.) needed to extract NOC details.",NA,108483,"August 20, 2007","PrEMEND™ Aprepitant 80 mg and 125 mg, capsules",NA,NA,NA,NA,NA,Merck Frosst Canada Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://pdf.hres.ca/noc_pm/0000001034.PDF,"{
  ""data_found"": false,
  ""reason"": ""The provided text is a product information sheet (FICHE DE RENSEIGNEMENTS) for VECTIBIXMC, which is an authorization with conditions (AC-C) from Health Canada. However, it does not contain the specific structured notice of compliance details such as dossier ID, submission number, manufacturer information, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official. The text describes the product and its authorization but lacks the required compliance data fields."",
  ""partial_data"": {
    ""product_name"": ""VECTIBIXMC"",
    ""medicinal_ingredients"": ""panitumumab (20 mg/mL), chlorure de sodium, acétate de sodium trihydraté, acide acétique (glacial), eau pour les injections"",
    ""reason_for_submission"": ""Based on promising clinical efficacy data, which require further verification and studies. The product has demonstrated promising benefit, is of high quality, and has an acceptable safety profile, based on risk-benefit assessment."",
    ""species"": ""Human"",
    ""drug_identification_number_route_form_strength"": ""20 mg/mL de concentré pour solution pour perfusion (panitumumab)"",
    ""canadian_reference_product"": """",
    ""authorizing_official"": {
      ""name"": ""Santé Canada"",
      ""title"": ""Health Canada"",
      ""division"": """",
      ""directorate"": """"
    }
  }
}",FALSE,"The provided text is a product information sheet (FICHE DE RENSEIGNEMENTS) for VECTIBIXMC, which is an authorization with conditions (AC-C) from Health Canada. However, it does not contain the specific structured notice of compliance details such as dossier ID, submission number, manufacturer information, date, product name, medicinal ingredients, reason for submission, species, drug identification number, Canadian reference product, or authorizing official. The text describes the product and its authorization but lacks the required compliance data fields.",NA,NA,NA,VECTIBIXMC,"panitumumab (20 mg/mL), chlorure de sodium, acétate de sodium trihydraté, acide acétique (glacial), eau pour les injections","Based on promising clinical efficacy data, which require further verification and studies. The product has demonstrated promising benefit, is of high quality, and has an acceptable safety profile, based on risk-benefit assessment.",Human,20 mg/mL de concentré pour solution pour perfusion (panitumumab),,NA,NA,NA,NA,NA,NA,Santé Canada,Health Canada,,
